[ 13-12-2012 @02:37:20 ] | INFO  | (CinemaOperations.java : 195) =>   setting capacity value as 200
[ 13-12-2012 @02:37:20 ] | INFO  | (CinemaOperations.java : 196) =>   --------get cinema record success---------
[ 13-12-2012 @02:38:21 ] | INFO  | (CinemaOperations.java : 203) =>   =============CURRENTLY IN MODIFY SELECTED CINEMA BODY============
[ 13-12-2012 @02:38:21 ] | DEBUG | (CinemaOperations.java : 204) =>   ===========Currently in updateModifiedCinema method===========
[ 13-12-2012 @02:38:21 ] | INFO  | (CinemaOperations.java : 223) =>   retrieved Cinema ID value as 1
[ 13-12-2012 @02:38:21 ] | INFO  | (CinemaOperations.java : 224) =>   updating Cinema Name value as Testing success
[ 13-12-2012 @02:38:21 ] | INFO  | (CinemaOperations.java : 225) =>   updating Cinema address value as Downtown
Heaven
000
[ 13-12-2012 @02:38:21 ] | INFO  | (CinemaOperations.java : 226) =>   updating City ID value as 2
[ 13-12-2012 @02:38:21 ] | INFO  | (CinemaOperations.java : 227) =>   updating rating value as 3
[ 13-12-2012 @02:38:21 ] | INFO  | (CinemaOperations.java : 228) =>   updating numOfScreens value as 4
[ 13-12-2012 @02:38:21 ] | INFO  | (CinemaOperations.java : 229) =>   updating capacity value as 250
[ 13-12-2012 @02:38:22 ] | INFO  | (CinemaOperations.java : 248) =>   -----------Update modified cinema success---------
[ 13-12-2012 @02:38:22 ] | DEBUG | (CinemaOperations.java : 249) =>   ------Numbers of rows affected: 1--------
[ 13-12-2012 @02:38:22 ] | INFO  | (CinemaOperations.java : 133) =>   =============CURRENTLY IN VIEW CINEMA THEATRES BODY============
[ 13-12-2012 @02:38:22 ] | DEBUG | (CinemaOperations.java : 134) =>   ===========Currently in displayCinemaTheatres method===========
[ 13-12-2012 @02:38:22 ] | INFO  | (CinemaOperations.java : 152) =>   --------View cinemas success---------
[ 13-12-2012 @02:40:06 ] | INFO  | (CinemaOperations.java : 257) =>   =============CURRENTLY IN VIEW CINEMA THEATRES BODY============
[ 13-12-2012 @02:40:06 ] | DEBUG | (CinemaOperations.java : 258) =>   ===========Currently in deleteCinema method===========
[ 13-12-2012 @02:40:06 ] | INFO  | (CinemaOperations.java : 262) =>   Cinema ID to be deleted is: 2
[ 13-12-2012 @02:40:06 ] | INFO  | (CinemaOperations.java : 280) =>   -----------Delete cinema success---------
[ 13-12-2012 @02:40:06 ] | DEBUG | (CinemaOperations.java : 281) =>   ------Numbers of rows affected: 1--------
[ 13-12-2012 @02:40:06 ] | INFO  | (CinemaOperations.java : 133) =>   =============CURRENTLY IN VIEW CINEMA THEATRES BODY============
[ 13-12-2012 @02:40:06 ] | DEBUG | (CinemaOperations.java : 134) =>   ===========Currently in displayCinemaTheatres method===========
[ 13-12-2012 @02:40:06 ] | INFO  | (CinemaOperations.java : 152) =>   --------View cinemas success---------
[ 13-12-2012 @07:41:42 ] | INFO  | (AdminLogin.java : 29) =>   =============CURRENTLY IN ADMIN LOGIN PAGE============
[ 13-12-2012 @07:41:42 ] | DEBUG | (AdminLogin.java : 30) =>   ===========Currently in execute method===========
[ 13-12-2012 @07:41:42 ] | DEBUG | (AdminLogin.java : 32) =>   ---------username and passwords matched------------
[ 13-12-2012 @07:41:52 ] | INFO  | (CityOperations.java : 73) =>   =============CURRENTLY IN VIEW CITIES BODY============
[ 13-12-2012 @07:41:52 ] | DEBUG | (CityOperations.java : 74) =>   ===========Currently in displayCities method===========
[ 13-12-2012 @07:41:53 ] | INFO  | (CityOperations.java : 91) =>   --------View cities success---------
[ 13-12-2012 @07:41:56 ] | INFO  | (CinemaOperations.java : 133) =>   =============CURRENTLY IN VIEW CINEMA THEATRES BODY============
[ 13-12-2012 @07:41:56 ] | DEBUG | (CinemaOperations.java : 134) =>   ===========Currently in displayCinemaTheatres method===========
[ 13-12-2012 @07:41:56 ] | INFO  | (CinemaOperations.java : 152) =>   --------View cinemas success---------
[ 13-12-2012 @07:42:01 ] | INFO  | (ScreenOperations.java : 113) =>   =============CURRENTLY IN VIEW CINEMA SCREENS BODY============
[ 13-12-2012 @07:42:01 ] | DEBUG | (ScreenOperations.java : 114) =>   ===========Currently in displayScreens method===========
[ 13-12-2012 @07:42:01 ] | INFO  | (ScreenOperations.java : 133) =>   --------View screens success---------
[ 13-12-2012 @07:42:09 ] | INFO  | (ScreenOperations.java : 225) =>   =============CURRENTLY IN VIEW CINEMA SCREENS BODY============
